Unnamed: 0,Title,Href,Bedrooms,Bathrooms,Covered Parkings,Lounges,Storeys,Access Gate,Balcony,BIC,Electric Fencing,Kitchen,Security Post,Main Value 3,Price,Dining Areas,En-suite,Open Parkings,Alarm,Entrance Hall,Family Tv Room,Fenced,Fireplace,Garden,Guest Toilet,Intercom,Laundry,Pantry,Patio,Paving,Pet Friendly,Pool,Scullery,Staff Quarters,Storage,Study,Garages,Flatlets,Satellite,Wheel Chair Friendly,Main Value 4,Gym,Air Con,Scenic View,Club House,Deck,Built In Braai,Garden Cottage,Walk In Closet,Lapa,Irrigation System,Golf Course,Water Included,Furnished,Tv,Tennis Court,Spa Bath,Squash Court,Sea View,Jetty Berth,Borehole,Electricity Included,Floor Area,Land Area,Rates,Levy,Province,City,Suburb,Area,Sold Date,List ID
88,1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/g28-houghton-village/6-boundary-road/T3978315,1,1,None,1,None,None,None,None,None,None,✔,LevyR 1575,Sold,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,✔,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,59 m²RatesR 195,,R 195,,gauteng,johannesburg,rosebank-and-parktown,houghton-estate,2024-02-23,T3978315
139,1 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/505-one-rosebank/39-cradock-avenue/T4197083,1,1,None,None,None,✔,None,✔,None,✔,✔,None,Sold,None,1,1,None,None,None,None,None,None,None,✔,None,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26 m²LevyR 950,,,R 950,gauteng,johannesburg,rosebank-and-parktown,rosebank,2024-02-23,T4197083
181,2 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/15-8th-street/T4371667,2,2,None,1,None,None,✔,None,None,✔,None,LevyR 4175,Sold,1,1,None,None,None,None,None,None,✔,None,None,✔,None,✔,None,✔,✔,None,None,✔,None,2,None,None,None,None,✔,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,114 m²RatesR 1800,,R 1800,,gauteng,johannesburg,rosebank-and-parktown,houghton-estate,2024-02-23,T4371667
246,4 Bed House in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/44-st-andrews-road/T2401819,4,4,None,2,None,None,None,None,None,None,✔,None,Sold,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,✔,✔,None,✔,None,✔,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,1980 m²,R 2363,,gauteng,johannesburg,rosebank-and-parktown,houghton-estate,2024-02-23,T2401819
252,5 Bed House in Parkwood,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkwood/27-dudley-road/T4401081,5,2,4,2,None,✔,None,✔,✔,✔,None,None,Sold,None,None,None,✔,None,None,None,✔,✔,✔,✔,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,1008 m²,R 3106,,gauteng,johannesburg,rosebank-and-parktown,parkwood,2024-02-23,T4401081
267,2 Bed House in Parkhurst,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkhurst/37-9th-street/T4370212,2,2,None,1,None,None,None,None,None,None,✔,None,Sold,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,✔,✔,None,None,None,None,2,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,495 m²,R 2277,,gauteng,johannesburg,rosebank-and-parktown,parkhurst,2024-02-23,T4370212
294,966 m² Land available in Birnam,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-north/34-fort-ave/T3206340,None,None,None,None,None,None,None,None,None,None,None,None,Sold,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,966 m²,R 3500,,gauteng,johannesburg,rosebank-and-parktown,melrose-north,2024-02-23,T3206340
335,5 Bed House in Parkview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkview/83-dundalk-avenue/T4213680,5,3,None,3,None,None,✔,✔,✔,✔,None,None,Sold,None,2,None,✔,✔,✔,None,✔,✔,None,✔,None,None,✔,None,None,✔,None,✔,None,None,4,None,None,None,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,1016 m²,R 3868,,gauteng,johannesburg,rosebank-and-parktown,parkview,2024-02-23,T4213680
347,3 Bed House in Parkview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkview/5-kerry-road/T4294135,3,2,None,3,None,✔,✔,✔,None,✔,None,None,Sold,None,1,None,✔,✔,None,None,✔,✔,None,✔,✔,None,None,None,None,✔,None,✔,✔,None,2,None,None,None,None,None,None,None,None,None,None,✔,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,,1024 m²,R 3661,,gauteng,johannesburg,rosebank-and-parktown,parkview,2024-02-23,T4294135
354,4 Bed House in Saxonwold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/saxonwold/5-cotswold-drive/T3997787,4,2.5,None,1,None,None,None,None,None,None,✔,None,Sold,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,✔,✔,None,✔,None,✔,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,2353 m²,R 4556,,gauteng,johannesburg,rosebank-and-parktown,saxonwold,2024-02-23,T3997787
358,3 Bed House in Parkview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkview/93-galway-road/T4410008,3,2.5,None,4,None,✔,✔,✔,✔,✔,None,None,Sold,None,1,None,✔,✔,✔,None,None,✔,✔,✔,None,✔,None,None,None,✔,None,✔,None,✔,3,None,None,None,None,None,None,None,None,None,None,✔,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,,1018 m²,R 3018,,gauteng,johannesburg,rosebank-and-parktown,parkview,2024-02-23,T4410008
