Province,City,Suburb,Area,Listed,Sold,Inventory
gauteng,johannesburg,bedfordview,bedford-gardens,247,5.0,49.4
gauteng,johannesburg,bedfordview,bedford-park,17,6.0,2.8333333333333335
gauteng,johannesburg,bedfordview,bedfordview,314,12.0,26.166666666666668
gauteng,johannesburg,bedfordview,essexwold,10,1.0,10.0
gauteng,johannesburg,bedfordview,meadowbrook,14,3.0,4.666666666666667
gauteng,johannesburg,bedfordview,morninghill,74,5.0,14.8
gauteng,johannesburg,bedfordview,oriel,25,1.0,25.0
gauteng,johannesburg,bedfordview,senderwood,4,3.0,1.3333333333333333
gauteng,johannesburg,bedfordview,st-andrews,55,3.0,18.333333333333332
gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,68,9.0,7.555555555555555
gauteng,johannesburg,fourways-sunninghill-and-lonehill,bloubosrand,104,8.0,13.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,broadacres,301,10.0,30.1
gauteng,johannesburg,fourways-sunninghill-and-lonehill,cedar-creek,5,,
gauteng,johannesburg,fourways-sunninghill-and-lonehill,cedar-lakes,6,2.0,3.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,craigavon,119,13.0,9.153846153846153
gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern,200,25.0,8.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern-ridge,5,1.0,5.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern-valley,1,1.0,1.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,douglasdale,272,43.0,6.325581395348837
gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,543,50.0,10.86
gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways-gardens,10,2.0,5.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,jukskei-park,66,2.0,33.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,kengies,23,3.0,7.666666666666667
gauteng,johannesburg,fourways-sunninghill-and-lonehill,lonehill,384,52.0,7.384615384615385
gauteng,johannesburg,fourways-sunninghill-and-lonehill,maroeladal,31,,
gauteng,johannesburg,fourways-sunninghill-and-lonehill,paulshof,367,52.0,7.0576923076923075
gauteng,johannesburg,fourways-sunninghill-and-lonehill,pineslopes,17,,
gauteng,johannesburg,fourways-sunninghill-and-lonehill,steyn-city,1,,
gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,305,41.0,7.439024390243903
gauteng,johannesburg,johannesburg-south,aeroton,15,,
