Province,City,Suburb,Area,Listed,Sold,Inventory
gauteng,east-rand,alberton,alberante,102,1.0,102.0
gauteng,east-rand,alberton,alberton,551,2.0,275.5
gauteng,east-rand,alberton,albertsdal,638,1.0,638.0
gauteng,east-rand,alberton,alrode,158,,
gauteng,east-rand,alberton,brackendowns,342,4.0,85.5
gauteng,east-rand,alberton,brackenhurst,590,4.0,147.5
gauteng,east-rand,alberton,elandshaven,26,2.0,13.0
gauteng,east-rand,alberton,florentia,176,1.0,176.0
gauteng,east-rand,alberton,general-alberts-park,23,,
gauteng,east-rand,alberton,leopards-rest-security-estate,310,,
gauteng,east-rand,alberton,mayberry-park,170,1.0,170.0
gauteng,east-rand,alberton,meyersdal,612,8.0,76.5
gauteng,east-rand,alberton,meyersdal-nature-estate,47,,
gauteng,east-rand,alberton,new-redruth,440,4.0,110.0
gauteng,east-rand,alberton,newmarket-park,147,,
gauteng,east-rand,alberton,raceview,83,2.0,41.5
gauteng,east-rand,alberton,randhart,260,5.0,52.0
gauteng,east-rand,alberton,southcrest,187,3.0,62.333333333333336
gauteng,east-rand,alberton,southdowns,19,,
gauteng,east-rand,alberton,verwoerdpark,206,3.0,68.66666666666667
gauteng,east-rand,benoni,actonville,67,,
gauteng,east-rand,benoni,alphen-park,19,,
gauteng,east-rand,benoni,benoni-ah,65,,
gauteng,east-rand,benoni,benoni-cbd,130,5.0,26.0
gauteng,east-rand,benoni,benoni-north,43,1.0,43.0
gauteng,east-rand,benoni,benoni-south,8,,
gauteng,east-rand,benoni,brentwood,5,,
gauteng,east-rand,benoni,brentwood-park,228,5.0,45.6
gauteng,east-rand,benoni,cloverdene,62,2.0,31.0
gauteng,east-rand,benoni,country-view,7,2.0,3.5
gauteng,east-rand,benoni,crystal-park,183,6.0,30.5
gauteng,east-rand,benoni,daveyton,50,1.0,50.0
gauteng,east-rand,benoni,dunblane-estate,28,,
gauteng,east-rand,benoni,eastland-mature-lifestyle-estate,40,,
gauteng,east-rand,benoni,ebotse-estate,67,5.0,13.4
gauteng,east-rand,benoni,fairleads,32,,
gauteng,east-rand,benoni,farrarmere,190,11.0,17.272727272727273
gauteng,east-rand,benoni,goedeburg,69,1.0,69.0
gauteng,east-rand,benoni,jatniel,1,,
gauteng,east-rand,benoni,lakefield,198,4.0,49.5
gauteng,east-rand,benoni,mackenzie-park,49,,
gauteng,east-rand,benoni,modderbee,5,,
gauteng,east-rand,benoni,morehill,82,2.0,41.0
gauteng,east-rand,benoni,northmead,117,6.0,19.5
gauteng,east-rand,benoni,northvilla,15,1.0,15.0
gauteng,east-rand,benoni,nortons-home-estate,70,2.0,35.0
gauteng,east-rand,benoni,rynfield,521,13.0,40.07692307692308
gauteng,east-rand,benoni,rynsoord,16,,
gauteng,east-rand,benoni,westdene,84,7.0,12.0
gauteng,east-rand,boksburg,anderbolt,2,,
gauteng,east-rand,boksburg,atlasville,82,5.0,16.4
gauteng,east-rand,boksburg,bardene,63,2.0,31.5
gauteng,east-rand,boksburg,bartlett,120,3.0,40.0
gauteng,east-rand,boksburg,beyers-park,169,3.0,56.333333333333336
gauteng,east-rand,boksburg,boksburg-central,163,,
gauteng,east-rand,boksburg,boksburg-east,14,,
gauteng,east-rand,boksburg,boksburg-north,58,1.0,58.0
gauteng,east-rand,boksburg,boksburg-south,48,,
gauteng,east-rand,boksburg,boksburg-west,36,,
gauteng,east-rand,boksburg,cason,10,,
gauteng,east-rand,boksburg,cinderella,7,,
gauteng,east-rand,boksburg,comet,184,,
gauteng,east-rand,boksburg,dawnpark,213,2.0,106.5
gauteng,east-rand,boksburg,delmore-park,11,,
gauteng,east-rand,boksburg,eveleigh,86,,
gauteng,east-rand,boksburg,farrar-park,18,1.0,18.0
gauteng,east-rand,boksburg,freeway-park,51,1.0,51.0
gauteng,east-rand,boksburg,groeneweide,15,,
gauteng,east-rand,boksburg,hughes,18,,
gauteng,east-rand,boksburg,impala-park,62,5.0,12.4
gauteng,east-rand,boksburg,jansen-park,93,,
gauteng,east-rand,boksburg,klippoortje,8,6.0,1.3333333333333333
gauteng,east-rand,boksburg,libradene,20,,
gauteng,east-rand,boksburg,lilianton,53,,
gauteng,east-rand,boksburg,morganridge,19,,
gauteng,east-rand,boksburg,parkdene,99,2.0,49.5
gauteng,east-rand,boksburg,parkhaven,25,,
gauteng,east-rand,boksburg,parkrand,191,6.0,31.833333333333332
gauteng,east-rand,boksburg,ravensklip,12,,
gauteng,east-rand,boksburg,ravenswood,202,8.0,25.25
gauteng,east-rand,boksburg,salfin,84,,
gauteng,east-rand,boksburg,sunward-park,195,5.0,39.0
gauteng,east-rand,boksburg,van-dyk-park,71,4.0,17.75
gauteng,east-rand,boksburg,villa-liza,14,1.0,14.0
gauteng,east-rand,boksburg,vosloorus,254,2.0,127.0
gauteng,east-rand,boksburg,windmill-park,204,3.0,68.0
gauteng,east-rand,boksburg,witfield,226,5.0,45.2
gauteng,east-rand,brakpan,anzac,31,,
gauteng,east-rand,brakpan,brakpan-central,237,7.0,33.857142857142854
gauteng,east-rand,brakpan,brakpan-north,187,2.0,93.5
