title,href,Status,property_type,main_features,key_main_features,Floor Area,Land Area,Rates,Levy,Bedrooms,Bathrooms,Province,City,Suburb,Area,Listing Number,Sold Date,previously listed price
3 Bed Apartment in Fourways,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/fourways/816-william/2616-william-nichol/T4245892,Sold,Apartment,,,94 ,220 m²,,,3.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,T4245892,2024-02-23,1360000.0
3 Bed Apartment in Fourways,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/fourways/816-william/2616-william-nichol/T4245892,Sold,Apartment,,,94 ,220 m²,,,3.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,T4245892,2024-02-23,1360000.0
2 Bed Apartment in Boskruin,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/boskruin/14-riverside-village/8-wilgeboom-drive/T4451906,Sold,Apartment,,,83 ,,R 578,,2.0,1.0,gauteng,johannesburg,north-riding-to-lanseria,boskruin,T4451906,2024-02-23,
2 Bed Apartment in Ferndale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/ferndale/T4284567,Sold,Apartment,,,86 ,4022 m²,,,2.0,1.0,gauteng,johannesburg,randburg-and-ferndale,ferndale,T4284567,2024-02-23,
1 Bed Apartment in Bryanston,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/T3734516,Sold,Apartment,,,51 ,,R 675,,1.0,1.0,gauteng,johannesburg,sandton-and-bryanston-north,bryanston,T3734516,2024-02-23,
3 Bed Apartment in Bryanston,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/T4181482,Sold,Apartment,,,126 ,,R 1500,,3.0,2.0,gauteng,johannesburg,sandton-and-bryanston-north,bryanston,T4181482,2024-02-23,
2 Bed Apartment in Bryanston,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/T4307545,Sold,Apartment,,,84 ,84 m²,,,2.0,2.0,gauteng,johannesburg,sandton-and-bryanston-north,bryanston,T4307545,2024-02-23,1499000.0
2 Bed Apartment in Bryanston,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/T4307545,Sold,Apartment,,,84 ,84 m²,,,2.0,2.0,gauteng,johannesburg,sandton-and-bryanston-north,bryanston,T4307545,2024-02-23,1499000.0
1 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/T4146435,Sold,Apartment,,,53 ,,,R 1294,1.0,1.0,gauteng,johannesburg,rosebank-and-parktown,parktown,T4146435,2024-02-23,499000.0
3 Bed Townhouse in Sundowner,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/sundowner/37-brushwood-estate/79-drysdale-road/T4398459,Sold,Townhouse,,,113 ,2.2 ha,,,3.0,2.0,gauteng,johannesburg,north-riding-to-lanseria,sundowner,T4398459,2024-02-23,
