title,href,Status,property_type,main_features,key_main_features,Floor Area,Land Area,Rates,Levy,Bedrooms,Bathrooms,Province,City,Suburb,Area,Listing Number,Sold Date,previously listed price
1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/g28-houghton-village/6-boundary-road/T3978315,Sold,Apartment,,,59 ,,R 195,,1.0,1.0,gauteng,johannesburg,rosebank-and-parktown,houghton-estate,T3978315,2024-02-23,
3 Bed Cluster in Beverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/31-tamarisk/117-fountain-road/T4281585,Sold,Cluster,,,,500 m²,R 2300,,3.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,T4281585,2024-02-23,
4 Bed House in Paulshof,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/paulshof/25-komari/T4445807,Sold,House,,,279 ,1530 m²,,,4.0,3.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,paulshof,T4445807,2024-02-23,
3 Bed House in Fourways,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/fourways/1-frederick/T4193395,Sold,House,,,217 ,443 m²,,,3.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,T4193395,2024-02-23,
2 Bed House in Paulshof,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/paulshof/27-alphen-close/T4345631,Sold,House,,,,482 m²,R 1545,,2.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,paulshof,T4345631,2024-02-23,
3 Bed House in Lonehill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/lonehill/39-lonehill-mews/50-concourse-crescent/T4233710,Sold,House,,,140 ,259 m²,,,3.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,lonehill,T4233710,2024-02-23,
3 Bed Cluster in Lonehill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/lonehill/17-manhattan/T4161914,Sold,Cluster,,,126 ,5523 m²,,,3.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,lonehill,T4161914,2024-02-23,
2 Bed Apartment in Douglasdale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/douglasdale/239-inyati-sands/239-leslie-avenue/T4418345,Sold,Apartment,,,86 ,50 m²,,,2.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,douglasdale,T4418345,2024-02-23,
2 Bed Apartment in Douglasdale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/douglasdale/115-inyati-sands/17-leslie-drive/T4418400,Sold,Apartment,,,86 ,,R 600,,2.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,douglasdale,T4418400,2024-02-23,
2 Bed Townhouse in Sunninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/sunninghill/92-singati-sands/44-naivasha-road/T4413780,Sold,Townhouse,,,77 ,,R 774,,2.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,T4413780,2024-02-23,
2 Bed Apartment in Sunninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/sunninghill/41-via-firenza/15-airdlin-road/T4467115,Sold,Apartment,,,77 ,1.3 ha,,,2.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,T4467115,2024-02-23,
2 Bed Townhouse in Paulshof,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/paulshof/58-bryan-brook/220-witkoppen-street/Z45511,Sold,Townhouse,,,89 ,,R 724,,2.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,paulshof,Z45511,2024-02-23,
2 Bed Apartment in Fourways,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/fourways/400-cedar-hills-private-estate/2-cedar-west-avenue/T4435631,Sold,Apartment,,,67 ,,R 476,,2.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,T4435631,2024-02-23,
1 Bed Apartment in Dainfern,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/dainfern/3733-the-view/77-broadacres-drive/T4473014,Sold,Apartment,,,50 ,,R 347,,1.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern,T4473014,2024-02-23,
2 Bed Apartment in Sunninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/sunninghill/47-umoya/5-kikuyu-road/T4098617,Sold,Apartment,,,75 ,75 m²,,,2.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,T4098617,2024-02-23,
2 Bed Apartment in Lonehill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/lonehill/289-soho-lofts/T3817966,Sold,Apartment,,,61 ,,R 560,,2.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,lonehill,T3817966,2024-02-23,
1 Bed Apartment in Sunninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/sunninghill/52-ss-the-crest/19-naivasha-road/T4399200,Sold,Apartment,,,52 ,1 ha,,,1.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,T4399200,2024-02-23,
1 Bed Apartment in Sunninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/sunninghill/500-shimbali-sands/00-naivasha-road/T4365146,Sold,Apartment,,,52 ,,R 1200,,1.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,T4365146,2024-02-23,
1 Bed Apartment in Dainfern,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/dainfern/150-the-paddocks/3437-william-nicol-drive/T4283857,Sold,Apartment,,,32 ,,R 355,,1.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern,T4283857,2024-02-23,
3 Bed House in Dainfern Golf Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/dainfern/T4087423,Sold,House,,,430 ,916 m²,,,3.0,3.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern,T4087423,2024-02-23,
2 Bed Apartment in Fourways,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/fourways/T4428635,Sold,Apartment,,,93 ,1.2 ha,,,2.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,T4428635,2024-02-23,
3 Bed Apartment in Fourways,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/fourways/816-william/2616-william-nichol/T4245892,Sold,Apartment,,,94 ,220 m²,,,3.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,T4245892,2024-02-23,1360000.0
3 Bed Apartment in Fourways,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/fourways/816-william/2616-william-nichol/T4245892,Sold,Apartment,,,94 ,220 m²,,,3.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,T4245892,2024-02-23,1360000.0
3 Bed Apartment in Fourways,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/fourways/816-william/2616-william-nichol/T4245892,Sold,Apartment,,,94 ,220 m²,,,3.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,T4245892,2024-02-23,1360000.0
1 Bed Apartment in Sunninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/sunninghill/501-cubana/62-nanyuki-road/T4328580,Sold,Apartment,,,85 ,1.5 ha,,,1.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,T4328580,2024-02-23,
1 Bed Apartment in Paulshof,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/paulshof/53b-the-algarve/1-mount-fletcher-lane/T4462342,Sold,Apartment,,,63 ,2.3 ha,,,1.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,paulshof,T4462342,2024-02-23,
2 Bed Apartment in Dainfern,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/dainfern/T4443985,Sold,Apartment,,,136 ,,R 799,,2.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern,T4443985,2024-02-23,
1 Bed Apartment in Jackal Creek Golf Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/jackal-creek-northriding/80-wentworth/209-jackal-creek-golf-estate/T4069491,Sold,Apartment,,,39 ,,R 340,,1.0,1.0,gauteng,johannesburg,north-riding-to-lanseria,jackal-creek-northriding,T4069491,2024-02-23,
3 Bed Cluster in Northwold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/northwold/16-sect-16-of-plan-3321996-known-as-fernwood/605-maple-drive/T4428007,Sold,Cluster,,,,165 m²,R 994,,3.0,2.0,gauteng,johannesburg,north-riding-to-lanseria,northwold,T4428007,2024-02-23,
6 Bed House in Lanseria and surrounds,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/lanseria-and-surrounds/T4014114,Sold,House,,,1300 ,1.2 ha,,,6.0,6.5,gauteng,johannesburg,north-riding-to-lanseria,lanseria-and-surrounds,T4014114,2024-02-23,
4 Bed House in Fourways,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/fourways/6-allion-close/T4346707,Sold,House,,,,650 m²,,R 3140,4.0,2.5,gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,T4346707,2024-02-23,
3 Bed House in Beverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/beverley/49a-mulbarton-road/T4399721,Sold,House,,,280 ,727 m²,,,3.0,2.5,gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,T4399721,2024-02-23,
3 Bed House in Broadacres,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/broadacres/25-lady-hamilton/25-pine-road/T4261898,Sold,House,,,,685 m²,R 1678,,3.0,2.5,gauteng,johannesburg,fourways-sunninghill-and-lonehill,broadacres,T4261898,2024-02-23,
