title,href,price,property_type,main_features,key_main_features,Floor Area,Land Area,Rates,Levy,Bedrooms,Bathrooms,Province,City,Suburb,Area,Listing Number,Sold Date
1 Bed Apartment in Sharonlea,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/sharonlea/T4487670,Sold,Apartment,"{'Floor Area': '44 m²', 'Rates': 'R 158', 'Levy': 'R 1149'}","{'Bedrooms': '1', 'Bathrooms': '1', 'Covered Parkings': '1', 'Lounges': '1', 'Balcony': '✔', 'Pool': '✔', 'Security Post': '✔'}",44,0,158,1149,1.0,1.0,gauteng,johannesburg,north-riding-to-lanseria,sharonlea,T4487670,2024-03-07
2 Bed Apartment in Fourways,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/fourways/T4482319,Sold,Apartment,{},"{'Bedrooms': '2', 'Bathrooms': '1', 'Lounges': '1', 'Open Parkings': '5'}",0,0,0,0,2.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,T4482319,2024-03-07
1 Bed Apartment in Bryanston,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/bryanston/48-baccarat-lodge/26-cedar/T4341974,Sold,Apartment,"{'Floor Area': '31 m²', 'Land Area': '1.4 ha'}","{'Bedrooms': '1', 'Bathrooms': '1', 'Lounges': '1', 'Open Parkings': '1', 'Kitchen': '✔', 'Pool': '✔'}",31,14,0,0,1.0,1.0,gauteng,johannesburg,sandton-and-bryanston-north,bryanston,T4341974,2024-03-07
1 Bed Townhouse in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/67a-villa-barcelona/69-johannes-road/T4535315,Sold,Townhouse,"{'Floor Area': '38 m²', 'Land Area': '3.6 ha', 'Levy': 'R 1623'}","{'Bedrooms': '1', 'Bathrooms': '1', 'Lounges': '1', 'Open Parkings': '1', 'Access Gate': '✔', 'Built In Braai': '✔', 'Family Tv Room': '✔', 'Kitchen': '✔', 'Paving': '✔', 'Pool': '✔', 'Security Post': '✔'}",38,36,0,1623,1.0,1.0,gauteng,johannesburg,northcliff,albertville,T4535315,2024-03-07
Studio Apartment in Gresswold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/gresswold/T4210991,Sold,Apartment,"{'Floor Area': '50 m²', 'Levy': 'R 806'}","{'Bedrooms': '0', 'Bathrooms': '1', 'Lounges': '1', 'Balcony': '✔', 'Security Post': '✔'}",50,0,0,806,0.0,1.0,gauteng,johannesburg,rosebank-and-parktown,gresswold,T4210991,2024-03-07
2 Bed House in Highlands North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/highlands-north/T4249451,Sold,House,"{'Land Area': '357 m²', 'Rates': 'R 398'}","{'Bedrooms': '2', 'Bathrooms': '1'}",0,357,398,0,2.0,1.0,gauteng,johannesburg,rosebank-and-parktown,highlands-north,T4249451,2024-03-07
1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/T4314584,Sold,Apartment,"{'Floor Area': '70 m²', 'Rates': 'R 606', 'Levy': 'R 1870'}","{'Bedrooms': '1', 'Bathrooms': '1', 'Dining Areas': '1', 'Garages': '1', 'Lounges': '1', 'Kitchen': '✔', 'Pool': '✔'}",70,0,606,1870,1.0,1.0,gauteng,johannesburg,rosebank-and-parktown,houghton-estate,T4314584,2024-03-07
1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/T4314570,Sold,Apartment,"{'Floor Area': '66 m²', 'Levy': 'R 1764'}","{'Bedrooms': '1', 'Bathrooms': '1', 'Dining Areas': '1', 'Garages': '1', 'Lounges': '1', 'Kitchen': '✔', 'Pool': '✔'}",66,0,0,1764,1.0,1.0,gauteng,johannesburg,rosebank-and-parktown,houghton-estate,T4314570,2024-03-07
1 Bed Apartment in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/104-hyde-park-heights/343-jan-smuts-avenue/T4459277,Sold,Apartment,"{'Floor Area': '74 m²', 'Land Area': '3953 m²', 'Rates': 'R 731', 'Levy': 'R 1293'}","{'Bedrooms': '1', 'Bathrooms': '1', 'Dining Areas': '1', 'Lounges': '1', 'Balcony': '✔', 'Security Post': '✔'}",74,3953,731,1293,1.0,1.0,gauteng,johannesburg,rosebank-and-parktown,craighall-park,T4459277,2024-03-07
1 Bed Flat in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/T1985614,Sold,Flat,"{'Floor Area': '98 m²', 'Rates': 'R 300', 'Levy': 'R 1800'}","{'Bedrooms': '1', 'Bathrooms': '1', 'Security Post': '✔'}",98,0,300,1800,1.0,1.0,gauteng,johannesburg,rosebank-and-parktown,parktown,T1985614,2024-03-07
1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/T4469881,Sold,Apartment,"{'Floor Area': '78 m²', 'Rates': 'R 549', 'Levy': 'R 2050'}","{'Bedrooms': '1', 'Bathrooms': '1', 'Covered Parkings': '1', 'Dining Areas': '1', 'Lounges': '1', 'Kitchen': '✔', 'Pool': '✔'}",78,0,549,2050,1.0,1.0,gauteng,johannesburg,rosebank-and-parktown,houghton-estate,T4469881,2024-03-07
2 Bed Apartment in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/T4404569,Sold,Apartment,"{'Floor Area': '109 m²', 'Rates': 'R 1780', 'Levy': 'R 2505'}","{'Bedrooms': '2', 'Bathrooms': '2', 'Covered Parkings': '1', 'Dining Areas': '1', 'Lounges': '1', 'Balcony': '✔', 'Pet Friendly': '✔', 'Security Post': '✔'}",109,0,1780,2505,2.0,2.0,gauteng,johannesburg,rosebank-and-parktown,craighall-park,T4404569,2024-03-07
2 Bed Apartment in Riviera,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/riviera/T4191422,Sold,Apartment,"{'Floor Area': '97 m²', 'Rates': 'R 800', 'Levy': 'R 3100'}","{'Bedrooms': '2', 'Bathrooms': '2', 'Covered Parkings': '1', 'Dining Areas': '1', 'Lounges': '1', 'Balcony': '✔', 'Garden': '✔', 'Kitchen': '✔', 'Pool': '✔', 'Staff Quarters': '✔'}",97,0,800,3100,2.0,2.0,gauteng,johannesburg,rosebank-and-parktown,riviera,T4191422,2024-03-07
1 Bed Townhouse in Ferndale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/ferndale/T3924005,Sold,Townhouse,{},"{'Bedrooms': '1', 'Bathrooms': '1', 'Garages': '1', 'Lounges': '1', 'Open Parkings': '1', 'Access Gate': '✔', 'Electric Fencing': '✔', 'Fenced': '✔', 'Garden': '✔', 'Intercom': '✔', 'Kitchen': '✔', 'Patio': '✔', 'Paving': '✔', 'Pet Friendly': '✔'}",0,0,0,0,1.0,1.0,gauteng,johannesburg,randburg-and-ferndale,ferndale,T3924005,2024-03-07
2 Bed Townhouse in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/202-ss-lucinda/51-judges-avenue/T4344043,Sold,Townhouse,"{'Floor Area': '93 m²', 'Land Area': '1736 m²', 'Rates': 'R 419', 'Levy': 'R 1895'}","{'Bedrooms': '2', 'Bathrooms': '1', 'Lounges': '1', 'Balcony': '✔', 'Pet Friendly': '✔', 'Pool': '✔'}",93,1736,419,1895,2.0,1.0,gauteng,johannesburg,randburg-and-ferndale,windsor-east,T4344043,2024-03-07
2 Bed Townhouse in Ferndale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/ferndale/T4070032,Sold,Townhouse,"{'Floor Area': '62 m²', 'Land Area': '4000 m²', 'Rates': 'R 194', 'Levy': 'R 2760'}","{'Bedrooms': '2', 'Bathrooms': '1', 'Lounges': '1', 'Open Parkings': '2', 'Access Gate': '✔', 'Family Tv Room': '✔', 'Kitchen': '✔'}",62,4000,194,2760,2.0,1.0,gauteng,johannesburg,randburg-and-ferndale,ferndale,T4070032,2024-03-07
2 Bed Apartment in Cresta,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/cresta/17-motswiri/39-judges-avenue/T4376109,Sold,Apartment,{'Floor Area': '54 m²'},"{'Bedrooms': '2', 'Bathrooms': '1', 'Covered Parkings': '1', 'Dining Areas': '1', 'Lounges': '1', 'Electric Fencing': '✔', 'Security Post': '✔'}",54,0,0,0,2.0,1.0,gauteng,johannesburg,randburg-and-ferndale,cresta,T4376109,2024-03-07
3 Bed Townhouse in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/3-pine-wood/43-princesses-avenue/T4464032,Sold,Townhouse,"{'Floor Area': '137 m²', 'Land Area': '992 m²', 'Rates': 'R 411', 'Levy': 'R 1558'}","{'Bedrooms': '3', 'Bathrooms': '2', 'Covered Parkings': '2', 'Dining Areas': '1', 'En-suite': '1', 'Lounges': '1', 'Storeys': '2', 'Access Gate': '✔', 'Balcony': '✔', 'BIC': '✔', 'Garden': '✔', 'Guest Toilet': '✔', 'Kitchen': '✔', 'Patio': '✔', 'Paving': '✔', 'Storage': '✔', 'Walk In Closet': '✔'}",137,992,411,1558,3.0,2.0,gauteng,johannesburg,randburg-and-ferndale,windsor-east,T4464032,2024-03-07
2 Bed Apartment in Ferndale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/ferndale/T4507202,Sold,Apartment,"{'Rates': 'R 500', 'Levy': 'R 1243'}","{'Bedrooms': '2', 'Bathrooms': '1', 'Covered Parkings': '1'}",0,0,500,1243,2.0,1.0,gauteng,johannesburg,randburg-and-ferndale,ferndale,T4507202,2024-03-07
2 Bed Apartment in Ferndale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/ferndale/T4333401,Sold,Apartment,"{'Floor Area': '56 m²', 'Rates': 'R 880', 'Levy': 'R 1600'}","{'Bedrooms': '2', 'Bathrooms': '1', 'Lounges': '1', 'Balcony': '✔', 'Pool': '✔'}",56,0,880,1600,2.0,1.0,gauteng,johannesburg,randburg-and-ferndale,ferndale,T4333401,2024-03-07
