Area,,Title,Href,Bedrooms,Bathrooms,Lounges,Main Value 3,Price,Dining Areas,Pool,Floor Area,Land Area,Province,City,Suburb,Area,Price per Sqm,Price per Land Area,Type,Max Price,Max Price Href,Potential Profit
albertville,9938,1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/T3945888,1.0,1.0,1.0,LevyR 1200,395000.0,,1.0,56.0,,gauteng,johannesburg,northcliff,albertville,7053.571428571428,,Apartment,420000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/36a-villa-barcelona/69-johannes-road/T4456502,25000.0
albertville,9939,1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/T4507722,1.0,1.0,,RatesR 282,399000.0,1.0,1.0,55.0,,gauteng,johannesburg,northcliff,albertville,7254.545454545455,,Apartment,450000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/42-villa-barcelona/2-van-zyl-street/T3901294,51000.0
albertville,9244,1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/40-ss-villa-barcelona-1871982/69-johannes-road/T4173395,1.0,1.0,1.0,LevyR 953,430000.0,,1.0,55.0,,gauteng,johannesburg,northcliff,albertville,7818.181818181818,,Apartment,450000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/42-villa-barcelona/2-van-zyl-street/T3901294,20000.0
albertville,10996,1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/T4221021,1.0,1.0,1.0,,430000.0,,1.0,55.0,,gauteng,johannesburg,northcliff,albertville,7818.181818181818,,Apartment,450000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/42-villa-barcelona/2-van-zyl-street/T3901294,20000.0
albertville,9245,1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/29-villa-barcelona/69-johannes-road/T4329069,1.0,1.0,1.0,LevyR 960,435000.0,,1.0,55.0,,gauteng,johannesburg,northcliff,albertville,7909.090909090909,,Apartment,450000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/42-villa-barcelona/2-van-zyl-street/T3901294,15000.0
albertville,9943,1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/T4452877,1.0,1.0,1.0,RatesR 360,439000.0,,,55.0,,gauteng,johannesburg,northcliff,albertville,7981.818181818182,,Apartment,450000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/42-villa-barcelona/2-van-zyl-street/T3901294,11000.0
albertville,9237,1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/106-villa-barcelona/106-van-zyl-street/T4326441,1.0,1.0,1.0,LevyR 651,299000.0,,,37.0,,gauteng,johannesburg,northcliff,albertville,8081.081081081081,,Apartment,350000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/T4367568,51000.0
albertville,9864,1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/82-villa-barcelona/2-van-zyl-street/T4339489,1.0,1.0,1.0,LevyR 650,299000.0,,,37.0,,gauteng,johannesburg,northcliff,albertville,8081.081081081081,,Apartment,350000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/T4367568,51000.0
albertville,9239,1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/15a-villa-barcelona/69-johannes-road/T4326872,1.0,1.0,1.0,RatesR 230,315000.0,1.0,1.0,37.0,,gauteng,johannesburg,northcliff,albertville,8513.513513513513,,Apartment,350000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/T4367568,35000.0
albertville,9240,1 Bed Apartment in Albertville,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/102-villa-barcelona/69-van-zyl-street/T4446494,1.0,1.0,1.0,LevyR 640,330000.0,,1.0,37.0,,gauteng,johannesburg,northcliff,albertville,8918.918918918918,,Apartment,350000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/albertville/T4367568,20000.0
atholl,5111,2 Bed Apartment in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4279253,2.0,2.0,1.0,LevyR 3782,1250000.0,1.0,1.0,113.0,,gauteng,johannesburg,sandton-and-bryanston-north,atholl,11061.946902654867,,Apartment,1400000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4470917,150000.0
atholl,4904,2 Bed Apartment in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4478109,2.0,1.0,1.0,,999000.0,1.0,1.0,90.0,,gauteng,johannesburg,sandton-and-bryanston-north,atholl,11100.0,,Apartment,1850000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4241441,851000.0
atholl,5093,2 Bed Apartment in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4473097,2.0,2.0,1.0,LevyR 4705,1250000.0,1.0,1.0,96.0,,gauteng,johannesburg,sandton-and-bryanston-north,atholl,13020.833333333334,,Apartment,1395000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4469221,145000.0
atholl,3025,2 Bed Apartment in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/d3-malaga/118-dennis-road/T4508642,2.0,1.0,1.0,LevyR 1936,1300000.0,1.0,1.0,96.0,,gauteng,johannesburg,sandton-and-bryanston-north,atholl,13541.666666666666,,Apartment,1395000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4469221,95000.0
atholl,5108,2 Bed Apartment in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4314822,2.0,2.0,1.0,LevyR 2344,1250000.0,,1.0,90.0,,gauteng,johannesburg,sandton-and-bryanston-north,atholl,13888.888888888889,,Apartment,1850000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4241441,600000.0
atholl,3107,2 Bed Apartment in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/22-willow-stream/133-froome-street/T4176930,2.0,2.0,1.0,LevyR 3840,1499900.0,,1.0,104.0,,gauteng,johannesburg,sandton-and-bryanston-north,atholl,14422.115384615385,,Apartment,2090000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4247298,590100.0
atholl,3122,2 Bed Apartment in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/the-epic/128-patricia-road/T3764657,2.0,2.0,,LevyR 3900,1550000.0,,,103.0,,gauteng,johannesburg,sandton-and-bryanston-north,atholl,15048.543689320388,,Apartment,1900000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/na-the-epic/128-patricia-road/T4060848,350000.0
atholl,5429,2 Bed Apartment in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4234502,2.0,2.0,1.0,,1575000.0,1.0,1.0,103.0,,gauteng,johannesburg,sandton-and-bryanston-north,atholl,15291.26213592233,,Apartment,1900000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/na-the-epic/128-patricia-road/T4060848,325000.0
atholl,5438,2 Bed Apartment in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4474540,2.0,2.0,1.0,LevyR 3633,1590000.0,1.0,,103.0,,gauteng,johannesburg,sandton-and-bryanston-north,atholl,15436.893203883496,,Apartment,1900000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/na-the-epic/128-patricia-road/T4060848,310000.0
atholl,3194,2 Bed Apartment in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/202-the-epic/128-patricia/T4451932,2.0,2.0,2.0,LevyR 3813,1700000.0,,,103.0,,gauteng,johannesburg,sandton-and-bryanston-north,atholl,16504.85436893204,,Apartment,1900000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/na-the-epic/128-patricia-road/T4060848,200000.0
auckland-park,10051,2 Bed Apartment in Auckland Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/auckland-park/T4372442,2.0,1.0,1.0,LevyR 2350,895000.0,,,80.0,,gauteng,johannesburg,northcliff,auckland-park,11187.5,,Apartment,950000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/auckland-park/T3886435,55000.0
