Area,,Title,Href,Bedrooms,Bathrooms,Lounges,Main Value 3,Price,Dining Areas,Pool,Floor Area,Land Area,Province,City,Suburb,Area,Price per Sqm,Price per Land Area,Type,Max Price,Max Price Href,Potential Profit
atholl,6899,4 Bed House in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T3593975,4.0,3.0,2.0,RatesR 4500,4999000.0,1.0,1.0,600.0,1983.0,gauteng,johannesburg,sandton-and-bryanston-north,atholl,8331.666666666666,2520.9278870398384,House,5500000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T3927577,501000.0
atholl,3659,5 Bed House in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/a26-central-avenue/T4351213,5.0,3.0,3.0,RatesR 3961,4400000.0,2.0,1.0,500.0,2026.0,gauteng,johannesburg,sandton-and-bryanston-north,atholl,8800.0,2171.767028627838,House,5450000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/68a-dennis-road/T4301913,1050000.0
atholl,2537,4 Bed House in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4463669,4.0,3.0,2.0,RatesR 4290,5799000.0,1.0,1.0,560.0,1787.0,gauteng,johannesburg,sandton-and-bryanston-north,atholl,10355.357142857143,3245.1035254616677,House,5900000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/50a-denoon-drive/T4246885,101000.0
atholl,6067,3 Bed House in Glen Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4381769,3.0,2.5,1.0,RatesR 1160,2599000.0,1.0,1.0,250.0,1593.0,gauteng,johannesburg,sandton-and-bryanston-north,atholl,10396.0,1631.5128688010043,House,2599999.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/130-the-palisades/T4485158,999.0
atholl,7233,4 Bed House in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4025398,4.0,3.5,2.0,RatesR 4200,7950000.0,1.0,1.0,650.0,1769.0,gauteng,johannesburg,sandton-and-bryanston-north,atholl,12230.76923076923,4494.064443188242,House,14999000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4307145,7049000.0
atholl,3787,4 Bed House in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/122b-riverside-road/T4080739,4.0,3.0,2.0,RatesR 4500,6290000.0,1.0,1.0,500.0,1500.0,gauteng,johannesburg,sandton-and-bryanston-north,atholl,12580.0,4193.333333333333,House,16999000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4445747,10709000.0
atholl,7436,5 Bed House in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4222427,5.0,4.5,,RatesR 5000,13999000.0,,,900.0,4064.0,gauteng,johannesburg,sandton-and-bryanston-north,atholl,15554.444444444445,3444.6358267716537,House,14499000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/T4427751,500000.0
atholl,3560,4 Bed House in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/11-marjan-avenue/T4437252,4.0,3.0,1.0,LevyR 1100,3450000.0,1.0,1.0,,1486.0,gauteng,johannesburg,sandton-and-bryanston-north,atholl,,2321.6689098250336,House,5900000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/50a-denoon-drive/T4246885,2450000.0
atholl,3622,4 Bed House in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/105-heather-avenue/T4193761,4.0,3.0,2.0,,3950000.0,1.0,1.0,,2409.0,gauteng,johannesburg,sandton-and-bryanston-north,atholl,,1639.684516396845,House,5900000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/50a-denoon-drive/T4246885,1950000.0
atholl,3653,4 Bed House in Atholl,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/88a-south-avenue/T4247138,4.0,2.5,3.0,,4250000.0,1.0,1.0,,2294.0,gauteng,johannesburg,sandton-and-bryanston-north,atholl,,1852.6591107236268,House,5900000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/atholl/50a-denoon-drive/T4246885,1650000.0
