listing_number,href,image_url
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-61629376_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-61629376_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-21027676_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-80044527_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-49247734_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-5964968_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-43670595_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-87210880_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-76617725_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-58019201_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-9404516_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-25218071_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-78335884_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-2671317_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-24877007_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-97224397_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-65108044_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-26502842_e.jpg
T4268494,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/craigavon/95-manyaleti/5-poplar-avenue/T4268494,https://helium.privateproperty.co.za/live-za-images/property/1710/33/9767710/images/property-9767710-37471177_e.jpg
