title,href,price,property_type
1 Bed Apartment in Ferndale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/ferndale/1306-rainy-hill/163-bram-fischer-dr/T4178562,R 280 000,Apartment
1 Bed Apartment in Ferndale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/ferndale/95-rainy-hill/163-bram-fischer-dr/T4441362,R 280 000,Apartment
1 Bed Apartment in Windsor West,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-west/41-windsor-royale/39-earls-avenue/T4260403,R 300 000,Apartment
2 Bed Apartment in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/9-president-arcade/65-earls-avenue/T4482605,R 310 000,Apartment
2.5 Bed Apartment in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/T3962829,R 315 000,Apartment
2 Bed Apartment in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/36-president-arcade/65-earls-avenue/T4470816,R 320 000,Apartment
1 Bed Apartment in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/T4509112,R 325 000,Apartment
1 Bed Duplex in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/T4459715,R 325 000,Duplex
2 Bed Apartment in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/T3595580,R 325 000,Apartment
1 Bed Apartment in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/6-mary-lou/50-kings-place/T4401623,R 330 000,Apartment
1 Bed Apartment in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/T4543693,R 330 000,Apartment
1 Bed Apartment in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/T4509097,R 330 000,Apartment
1 Bed Apartment in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/T4411633,R 330 000,Apartment
1 Bed Apartment in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/2-costa-del-sol/32-beatrice-street/T4482222,R 335 000,Apartment
1 Bed Apartment in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/10-gerbera-gardens/70-duchesses-avenue/T4181949,R 350 000,Apartment
1 Bed Apartment in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/1-duikerhof/72-earls-avenue/T4158004,R 350 000,Apartment
1 Bed Apartment in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/T4126667,R 350 000,Apartment
1 Bed Apartment in Windsor West,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-west/T4448792,R 350 000,Apartment
1 Bed Apartment in Windsor West,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-west/T4448794,R 350 000,Apartment
1 Bed Flat in Windsor East,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-east/18-letaba-flars/78-queens-avenue/T4149459,R 355 000,Flat
2 Bed House in Lanseria and surrounds,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/lanseria-and-surrounds/T4540655,R 350 000,House
6 Bed Apartment in Lanseria and surrounds,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/lanseria-and-surrounds/T4365742,R 350 000,Apartment
