,Title,Href
0,2 Bed Flat in Cheltondale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/orchards/30-chelton-oaks/55-dovedale/T11033
1,5 Bed House in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/26-abercorn-avenue/T3893091
2,4 Bed House in Parkview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkview/T3959477
3,14 Bed House in Parktown North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown-north/T4508186
4,2 Bed Apartment in Gresswold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/gresswold/10-manhattan-place/17-st-benedict/T4481649
5,3 Bed Simplex in Orchards,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/orchards/72-old-orchards-estate/15-jensen-rd/T3097168
6,Studio apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/2-the-hive/39-ashford-road/T4473073
7,2 Bed Apartment in Waverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/waverley/3112-flex-on-murray/2-murray-street/T4439685
8,2 Bed Apartment in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/6-featherstone/22-westminster-road/T4461743
9,3 Bed Apartment in Milpark,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/670-milpark-mews/1-barry-hertzog-avenue-empire-rd-auckland-park-johannesburg-2092/T11303
10,1 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/1-the-hive/39-ashford-road/T4470228
11,2 Bed Townhouse in Melrose Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-estate/8-villa-carrara/6-somerville-ave/T4204675
12,Loft in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/6-the-hive/39-ashford-road/T4473075
13,Loft in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/5-the-hive/39-ashford-road/T4473076
14,2.5 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/27-ss-hillside-village/3-10th-street/T4067920
15,2 Bed Townhouse in Craighall,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall/201-craighall-terrace/49-alexandra/T4312128
16,4 Bed House in Highlands North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/highlands-north/113-8th-ave/T4249923
17,3 Bed Penthouse in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/55-the-monroe/39-sturdee-avenue/T3746688
18,2 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/1109-the-median/23-cradock-avenue/T4477110
19,1 Bed Apartment in Waverley,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/waverley/3130-flex-on-murray/2-murray-street/T4510569
20,2 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/608-the-median/23-cradock-avenue/T4452991
21,3 Bed Townhouse in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/13-killarney-village/24-5th-street/T4501075
22,3 Bed Cluster in Dunkeld,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/dunkeld/1-dunkeld-mews/31-bompass/T4425166
23,3 Bed Cluster in Dunkeld,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/dunkeld/5-dunkeld-mews/31-bompass/T4506174
24,2 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/T4478762
25,2 Bed Apartment in Parktown North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown-north/first-avenue/T4404705
